Week,L5 IN Chandigarh,L5 IN Chandigarh Kalka-Panchkula,L5 IN Delhi 1,L5 IN Delhi 2,L5 IN Delhi 3,L5 IN Delhi 4,L5 IN Haryana,L5 IN Himachal Pradesh,L5 IN Jammu and Kashmir,L5 IN NCR 1 Gurgaon/Faridabad,L5 IN NCR 2 Noida/Ghaziabad,L5 IN Punjab 1,L5 IN Punjab 2,L5 IN Rajasthan,L5 IN Rajasthan 2,L5 IN Rajasthan 3,L5 IN Uttar Pradesh 1,L5 IN Uttar Pradesh 2,L5 IN Uttar Pradesh 3,L5 IN Uttar Pradesh 4,L5 IN Uttar Pradesh 5,L5 IN Uttar Pradesh 6,L5 IN Uttar Pradesh 7,L5 IN Uttranchal
Week 1,102634,57625,91340,184905,367086,,285113,54942,616099,58500,14995,451321,139168,105891,67853,40397,109615,65086,30191,90168,31825,103447,15283,147711
Week 2,352337,51899,236613,243515,488710,,260726,197184,906852,76764,32787,485158,138052,118538,426522,-95,183743,95490,25045,35911,34164,41903,240254,189095
Week 3,64232,140914,319275,356529,493530,11171,120235,112174,817356,89110,2316,157415,162544,143214,276380,,207966,142765,121644,167532,77527,58556,122630,156774
Week 4,585236,69167,537906,772584,542965,49349,195427,344945,528952,163754,87504,649768,506379,251473,206992,22192,49410,242961,110884,145079,17593,102412,280739,654938
Week 5,494297,385269,521307,1070859,1322921,9,826346,1036174,1274998,127865,35739,1387775,1095266,109310,844373,21033,511200,287937,61108,266242,80580,69724,463827,174872
Week 6,67424,7380,56033,130385,170793,,45534,20957,64372,19779,30979,156693,79744,69029,118432,,3193,17552,42864,79787,2884,24179,22143,92839
Week 7,72054,62165,130866,322975,91187,,67890,621089,244614,4464,5358,161933,176502,105507,138212,12514,114077,359397,3973,127314,20547,28639,197926,378374
Week 8,128607,32285,266408,549734,849795,13402,269141,216531,372472,233534,11059,520539,220131,184788,214941,65802,229956,156245,52212,104213,57544,113410,141828,396612
Week 9,291078,128533,289534,920247,1141587,13662,366821,657183,1332685,59790,73258,1030541,655520,261709,437100,20102,250840,385083,163696,166973,37843,29515,300500,434708
Week 10,22494,14155,159067,504428,311589,4908,42806,247819,33972,31665,4595,244003,36193,162011,104629,5088,32247,56547,76356,86887,14540,44145,70069,121884
Week 11,102047,66618,221831,489817,249208,18032,49473,924176,150558,18689,-1601,327787,175149,87267,168457,29949,53483,55451,20254,167410,77080,21553,117308,47856
Week 12,36521,40969,132321,598144,386233,12557,96015,539970,209555,32959,9025,245304,98350,64851,132108,14852,57140,23849,44366,65834,22897,17982,81225,74954
