hh_id,hand_washing_facilities,electricity,floor,highest_education_achieved,wealth_quintile,number_of_people
5aa3d51f068c5c12ceca480daaa7b5cb,no,no,earth_sand,primary,2.0,2
a98f97be6d721dcf1335165fd5fb1025,no,yes,earth_sand,primary,3.0,1
cab57db63ab70e67fc7de865e9315231,no,yes,cement,some_primary,4.0,1
c3351d4007abd497d36158664de4b042,no,no,earth_sand,some_secondary,1.0,8
cd5b872c1fa6f7db652b1dc5eda8e37f,yes,yes,earth_sand,primary,1.0,2
1895f4128171043c7ee9a279024000bf,yes,no,cement,after_secondary,1.0,2
729b85e005d3db641eadffd64721b54c,no,no,floor_other,secondary,1.0,1
16787d0ce6e1333e715085a54fd76f7b,no,no,earth_sand,some_primary,3.0,3
ed5331a1d89e5f65a1b05da737114e8b,yes,no,cement,some_primary,1.0,1
c6e06ca2a36a65e398d1079e60dc210b,no,no,floor_other,primary,2.0,1
c792cf21d8c254f4cf27ad7a52890ea0,no,no,earth_sand,some_primary,4.0,4
47718fb40c22f0a9ec88a9162ca4d089,yes,yes,floor_other,primary,3.0,1
068d669f9becec776a50bd8fe6002163,yes,no,cement,some_secondary,1.0,1
4a32fb9b283e944be71f4c224faff28e,yes,no,floor_other,some_secondary,1.0,1
4d7bb95620a39734d7a4e1d488411d7c,no,no,earth_sand,after_secondary,1.0,2
a26be268ca3fae749cd26d7f217035f4,yes,yes,earth_sand,after_secondary,1.0,1
65a2f7f514ca7e4b41ebe4dac0f847a0,no,no,floor_other,some_primary,4.0,1
fb9ded4dc4074adf9189520e44fce03d,yes,no,floor_other,none,1.0,1
2b0f9252a9eb38301bd6dc926a594540,no,yes,cement,some_primary,4.0,1
c6a4d62c412bc914a2997905c2c79c78,yes,no,cement,primary,5.0,2
1ce426278b701ac44ccd2140389e4bcb,yes,no,cement,some_primary,4.0,1
f0dbc35f2d8f484cb8ede87f4b534ddc,no,no,earth_sand,some_primary,1.0,1
b43bf0d025efd8ad82bd1527c2775f80,yes,yes,floor_other,some_secondary,3.0,5
5a2b2a5f88f4ad1c4435d51b1120cd61,yes,no,cement,some_primary,1.0,1
07b10ca75afa7de0bb4174c3c25217ef,no,no,earth_sand,some_primary,2.0,2
1aaebf0b7401e388d6a464583b05e345,no,no,floor_other,none,2.0,1
7e05c0a894a58b938c92cba90f070120,no,no,earth_sand,some_primary,3.0,1
47df5fb116a02324606c56bede769212,no,yes,cement,some_secondary,1.0,1
895109d61db289184d7d4754c6038668,no,no,earth_sand,secondary,2.0,1
8609f9670eaa8ac5583313f15a381349,yes,yes,earth_sand,primary,4.0,1
a7a1c4b35d9c1941f0c71f03c531963a,yes,yes,earth_sand,some_primary,2.0,1
461dc51122e0455d548641b0f60f62bb,yes,no,cement,after_secondary,1.0,1
35cdfd8eb526117d9b5833ce70768888,yes,no,earth_sand,some_primary,5.0,1
72142a3f5d5cae0674d83e63d2c589f3,yes,no,floor_other,some_secondary,3.0,4
54abd33fa00e87f00e3efdbf2505c259,no,no,cement,,2.0,2
6337baf8e1f69a9c62ed6a2d81ae703c,yes,yes,earth_sand,primary,2.0,3
0b1fab2690d20e2ed1659d0ab5b7a06b,no,no,cement,primary,1.0,2
454a4e262c7cd97ed2fe20b689de4332,no,no,floor_other,some_primary,4.0,1
